posted,date,time,city,state,shape,duration,summary,images,img_link,lat,lng,population
03/06/23,03/01/23,19:38:00,Garden City,ID,Circle,UFO?,Saw what appeared to be a Aireal object just hovering in the sky not moving. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174819.html,43.6526,-116.2743,12056
03/06/23,03/01/23,19:35:00,Laguna Woods,CA,Circle,Half hour so far,"Saw two stationary lights, one brighter than the other with an apparent aircraft flying to the left. NUFORC Note: Jupiter and Venus",Yes,https://nuforc.org/webreports/reports/174/S174830.html,33.6099,-117.7299,17546
03/06/23,03/01/23,19:35:00,Berlin,MD,Oval,10 minutes,I watched in the dark as it slowly moved overhead. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174807.html,38.331,-75.2148,4950
03/06/23,03/01/23,19:30:00,Leesburg,GA,Cross,Over 30 minutes,Two stationary white lights. One smaller & higher than the other. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174800.html,31.7324,-84.1688,3407
03/06/23,03/01/23,19:30:00,Glenview,IL,Oval,40 minutes,The black elliptical object with 2 bright lights on each end hovered. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174823.html,42.0825,-87.8214,48150
03/06/23,03/01/23,19:25:00,Roseburg,OR,Light,30 minutes,2 lights near one another approximately 1 inch apart. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174832.html,43.2231,-123.352,23551
03/06/23,03/01/23,19:19:00,Munhall,PA,Other,3 + minutes,Two crafts then one dissappeared. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174815.html,40.3935,-79.9005,10827
03/06/23,03/01/23,19:08:00,Barberton,OH,Other,25 minutes plus,Two lights high in the sky stationary very large and bright. Seen clouds moving infront of it. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174796.html,41.0095,-81.6037,25309
03/06/23,03/01/23,19:00:00,Jackson,MS,Unknown,1 hour,2 star-like objects close together not moving but there was too much cloud cover to see other stars. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174812.html,32.3157,-90.2125,326977
03/06/23,03/01/23,18:49:00,Butler,PA,Unknown,15 minutes,Looked up at an unfamiliar light in the sky that me and my wife had first noticed. There were 2 lights. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174794.html,40.8616,-79.8962,13452
03/06/23,03/01/23,18:45:00,Delavan,WI,Light,45 minutes on going,2 close bright lights very close staionary. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174808.html,42.6282,-88.6323,8568
03/06/23,03/01/23,18:20:00,Torrance,CA,Light,still going on,Two small lights apart - about the width of a wing span of a commercial airplane. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174827.html,33.8346,-118.3416,147156
03/06/23,03/01/23,07:15:00,Riverdale,CA,Light,10 mins,"Strange circular lights floating still, below star range. NUFORC Note: Jupiter and Venus",Yes,https://nuforc.org/webreports/reports/174/S174835.html,36.4304,-119.8671,2513
03/06/23,02/28/23,20:40:00,Columbus,GA,Circle,10 or 12 minutes,"Brilliantly illuminated, scintillating, disc-shaped objects moving at constant speed. Illumination dimmed as objects passed over city.",Yes,https://nuforc.org/webreports/reports/174/S174786.html,32.51,-84.8771,262061
03/06/23,02/28/23,19:46:00,Murfreesboro,TN,Light,It's been sitting for 1hr,I noticed it an hour ago. I posted on Twittrer and Facebook. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174763.html,35.849,-86.4121,181450
03/06/23,02/28/23,19:17:00,Murfreesboro,TN,Circle,It's been sitting for 1hr,I seen them for 2+ hours. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174769.html,35.849,-86.4121,181450
03/06/23,02/28/23,19:08:00,Fredericksburg,VA,Light,Filing at 1922: ongoing,Observed 2x stationary low UFO over a field/highway in front of my house. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174757.html,38.2992,-77.4872,155414
03/06/23,02/28/23,19:00:00,Woodland,WA,Circle,30-45 minutes,Hovering close together. Faint green and red lights intermittently. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174781.html,45.9145,-122.7505,6368
03/06/23,02/28/23,18:50:00,Washington,DC,Light,Ongoing,A motorist stopped us to point out two lighted objects in the sky. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174755.html,38.9047,-77.0163,4810669
03/06/23,02/28/23,18:34:00,Irving,TX,Unknown,1 minute,"Upon reviewing the photos, I saw two bright lights in one of my photos. NUFORC Note: Jupiter and Venus",Yes,https://nuforc.org/webreports/reports/174/S174860.html,32.8583,-96.9702,254184
03/06/23,02/27/23,20:02:00,Sarasota,FL,Light,Approx 5 min,Observed light over the Gulf of Mexico that was preceded by cloud/mist travelling North to South parallel to the coast.,Yes,https://nuforc.org/webreports/reports/174/S174735.html,27.3387,-82.5432,727388
03/06/23,02/27/23,19:54:00,Nokomis,FL,Other,3-4 minutes,2 weird lit up flying objects,Yes,https://nuforc.org/webreports/reports/174/S174751.html,27.1241,-82.4354,3481
03/06/23,02/27/23,19:45:00,Brandon,SD,Cross,20-30 minutes,Two stationery craft. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174748.html,43.5928,-96.5799,10745
03/06/23,02/27/23,18:00:00,Woodbury,TN,Other,1 hour,2 craft stationary in the sky...unmoving for 1 hour.,Yes,https://nuforc.org/webreports/reports/174/S174743.html,35.8247,-86.0723,2668
03/06/23,02/26/23,19:15:00,Rockwood,MI,Light,App. 2 1/2 hours,2 lights in stack formation same speed. Much brighter than Venus. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174739.html,42.0705,-83.243,3218
03/06/23,02/26/23,11:40:00,Sisquoc,CA,Triangle,Seconds,"Caught it with my camera flying about 100 ft above ground level at mach 1+ yet no visible engine, no sonic boom, no contrail, no sound!",Yes,https://nuforc.org/webreports/reports/174/S174870.html,34.8621,-120.2943,199
03/06/23,02/25/23,20:30:00,Lexington,OH,Unknown,30 min,Took photos. Lights on it. stayed in one spot 20 min then moved slightly then gone. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174711.html,40.68,-82.5793,4994
03/06/23,02/25/23,19:33:00,Grand junction,CO,Formation,35,Walking dogs and to the west there were 2 very bright lights in the lower part of the horizion,Yes,https://nuforc.org/webreports/reports/174/S174722.html,39.0877,-108.5673,134074
03/06/23,02/24/23,20:40:00,Shreveport,LA,Formation,,"Bright light in woods behind fence, something in corner of picture taken.",Yes,https://nuforc.org/webreports/reports/174/S174770.html,32.4653,-93.7955,286200
03/06/23,02/24/23,00:31:00,Fort Myers,FL,Other,Less than a minute,"An ""L"" shaped craft with 5-7 white, circular rings on its undercarriage. Had no visible lights. Was illuminated by city lights.",Yes,https://nuforc.org/webreports/reports/174/S174707.html,26.6194,-81.8302,84694
03/06/23,02/22/23,19:00:00,Ogdensburg,NY,Cylinder,2-3 min,Looked like a dotted line in the night sky,Yes,https://nuforc.org/webreports/reports/174/S174689.html,44.7088,-75.4717,10153
03/06/23,02/21/23,22:20:00,Elizabethtown,PA,Other,15 minutes,Stationary in sky,Yes,https://nuforc.org/webreports/reports/174/S174684.html,40.1533,-76.599,11574
03/06/23,02/21/23,18:30:00,Bloomington,IL,Other,Captured a still image,"While taking a pic of the moon and stars, I did not see the UFO in the sky; image of the UFO was captured in the photo.",Yes,https://nuforc.org/webreports/reports/174/S174705.html,40.4757,-88.9703,134357
03/06/23,02/21/23,08:50:00,Three oaks,MI,Oval,Seen it for about 4 min,Small car size oval coming from trees and into the city,Yes,https://nuforc.org/webreports/reports/174/S174687.html,41.7985,-86.6139,1241
03/06/23,02/20/23,20:32:00,Poulsbo,WA,Formation,1 hour,Me and my aunt spotted different unknown objects in the sky. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174773.html,47.7417,-122.6407,11652
03/06/23,02/19/23,22:30:00,Cuyahoga falls,OH,Circle,20 minutes,A single ufo sighting from kitchen window.,Yes,https://nuforc.org/webreports/reports/174/S174669.html,41.1641,-81.5207,50906
03/06/23,02/19/23,19:25:00,Bonita Springs,FL,Formation,1 hour,Weird Lights,Yes,https://nuforc.org/webreports/reports/174/S174660.html,26.3558,-81.7859,347581
03/06/23,02/19/23,18:31:00,Bridgeville,PA,Changing,15,Lights that got more intense.,Yes,https://nuforc.org/webreports/reports/174/S174690.html,40.3578,-80.1061,4826
03/06/23,02/19/23,07:20:00,Punta Gorda,FL,Unknown,2 minutes,Saw something that looked like a plane but wasnt,Yes,https://nuforc.org/webreports/reports/174/S174673.html,26.8941,-82.0513,19230
03/06/23,02/18/23,19:54:00,Capulin,NM,Other,,Appeared only in this photo and not in any other immediately before or after,Yes,https://nuforc.org/webreports/reports/174/S174853.html,36.7445,-103.9958,45
03/06/23,02/18/23,19:31:00,mooreland,OK,Circle,2 hours,It looked to be a star but it was too bright to be a star and it started moving.,Yes,https://nuforc.org/webreports/reports/174/S174653.html,36.4377,-99.2048,1070
03/06/23,02/18/23,16:50:00,Pasco,WA,Formation,8-10 min,"It could be clouds, maybe? Or a weather balloon or space junk falling to earth?",Yes,https://nuforc.org/webreports/reports/174/S174647.html,46.2506,-119.1305,76398
03/06/23,02/18/23,07:25:00,Baltimore,MD,Cylinder,Several minutes,Bottle Shape White object flying through sky,Yes,https://nuforc.org/webreports/reports/174/S174633.html,39.3051,-76.6144,2205092
03/06/23,02/17/23,18:30:00,Blanchard,PA,Circle,Over 15 minutes,Two very bright white objects traveling from south to northwesterly direction.,Yes,https://nuforc.org/webreports/reports/174/S174629.html,41.067,-77.606,401
03/06/23,02/17/23,07:26:00,Sheridan,OR,Disk,Around 2 minutes,"Early morning sunrise, south side of Hwy 18.",Yes,https://nuforc.org/webreports/reports/174/S174626.html,45.096,-123.3983,4826
03/06/23,02/16/23,22:00:00,homestead,FL,Changing,All during the night.,"The white blobs look like therir zooming from my roof. I can't see them with my naked eye.They set off my motion Alarm, i can watch fro",Yes,https://nuforc.org/webreports/reports/174/S174620.html,25.4665,-80.4472,78885
03/06/23,02/16/23,19:58:00,Naples,FL,Chevron,10 minutes and counting,2stationary objects over gulf hovering in sky,Yes,https://nuforc.org/webreports/reports/174/S174612.html,26.1504,-81.7936,19187
03/06/23,02/16/23,10:43:00,Lakewood,CO,Sphere,5-10 minutes,Dark grey/ grey/ white Sphere in the sky,Yes,https://nuforc.org/webreports/reports/174/S174617.html,39.6977,-105.1172,155608
03/06/23,02/15/23,10:46:00,Indianapolis,IN,Disk,20-30 Seconds,I walked out of the school and was watching a plane and noticed something smaller fly past it heading the opposite direction.,Yes,https://nuforc.org/webreports/reports/174/S174582.html,39.7771,-86.1458,1659305
03/06/23,02/15/23,10:34:00,Syracuse,UT,Diamond,,"We were leaving a jobsite and my friend spotted this wierd craft just crusing slowly close by us, i grabbed my camera got video n photo",Yes,https://nuforc.org/webreports/reports/174/S174583.html,41.0859,-112.0698,31715
03/06/23,02/14/23,20:59:00,Valrico,FL,Light,10 minutes,I saw towards the E a light that resembled the space shuttle flames when we used to see when it went up.,Yes,https://nuforc.org/webreports/reports/174/S174574.html,27.9193,-82.2293,39632
03/06/23,02/14/23,18:37:00,Granite Falls,NC,Circle,2 mins,We were coming home from Walmart and saw this object moving at a high rate of speed. Lower than where a helicopter or plane would be.,Yes,https://nuforc.org/webreports/reports/174/S174567.html,35.797,-81.4237,4898
03/06/23,02/14/23,15:55:00,Fort Smith,AR,Circle,Less than a minute,Seen a shiny object moving across the sky at 3:55pm on 2/14/23.,Yes,https://nuforc.org/webreports/reports/174/S174566.html,35.3495,-94.3695,127699
03/06/23,02/14/23,08:04:00,Miami,FL,Cigar,20 to 25 seconds,The sky was blue and clear and from a distance as I was driving onto campus from SW 107th Ave. & 18th Street I spotting this object,Yes,https://nuforc.org/webreports/reports/174/S174548.html,25.784,-80.2101,5711945
03/06/23,02/13/23,22:15:00,Northport,AL,Cylinder,Roughly 30 minutes,We get a lot of planes and helicopters that go by but this one was different. It was too fast and too quiet,Yes,https://nuforc.org/webreports/reports/174/S174572.html,33.2586,-87.5993,30334
03/06/23,02/13/23,21:40:00,Watford city,ND,Circle,I watched for 5 minutes,Two orange beems of light that look like holograms. One dissappear and comes back. Two circle green lights that move all directions.,Yes,https://nuforc.org/webreports/reports/174/S174533.html,47.8027,-103.2678,5725
03/06/23,02/13/23,19:30:00,Fall River,MA,Light,10 minutes,Bright light appearing in reappearing in erratic movements,Yes,https://nuforc.org/webreports/reports/174/S174544.html,41.7136,-71.1015,93339
03/06/23,02/13/23,19:02:00,Glenview,IL,Other,30 min,"There were dots in a line that were flying from east to west in the sky, and then they seemed to go above the clouds.",Yes,https://nuforc.org/webreports/reports/174/S174520.html,42.0825,-87.8214,48150
03/06/23,02/13/23,19:00:00,Antigo,WI,Unknown,,"Was driving, caught my eye in the sky as I was on a dark road, ignored it and kept going until it never disappeared so I pulled over",Yes,https://nuforc.org/webreports/reports/174/S174519.html,45.141,-89.1552,8054
03/06/23,02/13/23,18:15:00,Portland,OR,Sphere,Unknown,My friend was on the Casco bay bridge and saw the craft,Yes,https://nuforc.org/webreports/reports/174/S174537.html,45.5371,-122.65,2036875
03/06/23,02/13/23,17:59:00,Mahomet,IL,Changing,From 5:59pm to 8:00pm,2 Large hexagon objects hovering and moving in the sky that could change shapes.,Yes,https://nuforc.org/webreports/reports/174/S174559.html,40.1888,-88.3901,9297
03/06/23,02/13/23,17:30:00,Winnetka,IL,Fireball,4+ minutes,Looking south from intersection aforementioned towards ORD Airport.,Yes,https://nuforc.org/webreports/reports/174/S174525.html,42.1064,-87.7421,12658
03/06/23,02/13/23,15:00:00,Santa Monica,CA,Oval,about 3-4 minutes,A glowing orange football shaped object that hovered then flew directly towards my window and low over my apartment.,Yes,https://nuforc.org/webreports/reports/174/S174636.html,34.0235,-118.481,92828
03/06/23,02/13/23,14:37:00,New Britain,CT,Unknown,2 - 3 minutes,Cube like craft seen underneath military Chinook helicopter,Yes,https://nuforc.org/webreports/reports/174/S174599.html,41.6759,-72.7862,74022
03/06/23,02/13/23,10:00:00,The Villages,FL,Other,Grass burned in yard,There is a large circle of dead grass that showed up overnight in our back yard. We have no idea where it came from.,Yes,https://nuforc.org/webreports/reports/174/S174439.html,28.9034,-81.9887,119296
03/06/23,02/13/23,02:45:00,Hastings,NE,Other,Observed for approx. 1 ho,Very large half circle over lapping the moon. Object was brighter than the moon. White with a thin bright green outline.,Yes,https://nuforc.org/webreports/reports/174/S174493.html,40.5961,-98.39,25247
03/06/23,02/12/23,21:00:00,Minot,ND,Circle,Few hours then it left,It looked like a big star. But it was moving.,Yes,https://nuforc.org/webreports/reports/174/S174521.html,48.2375,-101.278,48005
03/06/23,02/12/23,20:00:00,Saratoga springs,UT,Circle,2 minutes,Circular object with three flashing lights heading south,Yes,https://nuforc.org/webreports/reports/174/S174480.html,40.345,-111.9154,36977
03/06/23,02/12/23,19:40:00,Ewing,KY,Formation,Roughly 10 seconds,Saw a line of 5 star like shapes in a line that drifted across the sky and vanished in a eclipse like fashion.,Yes,https://nuforc.org/webreports/reports/174/S174463.html,38.4278,-83.8619,237
03/06/23,02/12/23,19:40:00,Sedalia,MO,Light,,Red glow,Yes,https://nuforc.org/webreports/reports/174/S174607.html,38.7059,-93.234,21696
03/06/23,02/12/23,03:15:00,Fort Atkinson,WI,Light,30 minutes,A number of white lights low above the horizon.,Yes,https://nuforc.org/webreports/reports/174/S174589.html,42.9253,-88.8442,12529
03/06/23,02/11/23,22:00:00,Jackson,MI,Circle,Hour or longer.,I was standing on my back deck when I saw this object. Really curious on what it might be.,Yes,https://nuforc.org/webreports/reports/174/S174499.html,42.2431,-84.4038,87230
03/06/23,02/11/23,19:53:00,Antlers,OK,Circle,One hour,"Moving up, down and left to right. Very bright. Disappeared completely after an hour of noticing it.",Yes,https://nuforc.org/webreports/reports/174/S174571.html,34.2329,-95.6229,2299
03/06/23,02/11/23,14:00:00,HENDERSON,NV,Cylinder,Approximately 10 minutes,It appeared to sit in the sky and it looked like it had solar panels on it no sound moved slowly disappeared then reappeared,Yes,https://nuforc.org/webreports/reports/174/S174432.html,36.0133,-115.0381,311250
03/06/23,02/11/23,11:50:00,Phoenix,AZ,Diamond,3 minutes on an airplane,"I saw a bright, almost reflective, white object in the distance. Zoomed in becomes blurry. There's another object in a shadow in 2 pics",Yes,https://nuforc.org/webreports/reports/174/S174593.html,33.5722,-112.0892,4047095
03/06/23,02/11/23,04:00:00,Lincoln,NE,Sphere,Half hour at a time,"Up to 3 lights in the sky, every morning at 4am, 3 locations, 200 miles apart. Fade in, fade out. Sometimes overlaying each other.",Yes,https://nuforc.org/webreports/reports/174/S174394.html,40.8099,-96.6784,289136
03/06/23,02/10/23,07:10:00,Alexandria,VA,Oval,3 minutes maybe,Saw two flying objects flying in circles and erratic movements then they disappeared.,Yes,https://nuforc.org/webreports/reports/174/S174384.html,38.8185,-77.0861,158185
03/06/23,02/09/23,18:05:00,Monroe,WA,Light,5 minutes,I saw ball of light hovering low in sky not making any sound or blinking lights like an aircraft would do.,Yes,https://nuforc.org/webreports/reports/174/S174539.html,47.8595,-121.9851,19879
03/06/23,02/09/23,17:45:00,Cleveland,OH,Cylinder,5 minutes,We were watching a plane when we noticed this,Yes,https://nuforc.org/webreports/reports/174/S174423.html,41.4764,-81.6805,1683059
03/06/23,02/09/23,16:31:00,Somers,MT,Other,Unknown,Noticed stationary structure on mountainside of national forest land with no tracks or visible way of having gotten to location,Yes,https://nuforc.org/webreports/reports/174/S174378.html,48.0824,-114.2344,1169
03/06/23,02/09/23,15:11:00,Madera,CA,Cross,5 minute,Heard an unusually loud noise I couldnt find. Checked on an app for planes and it showed nothing.,Yes,https://nuforc.org/webreports/reports/174/S174383.html,36.963,-120.0778,82772
03/06/23,02/09/23,01:00:00,Albany,OR,Circle,5 minutes,Ball of expanding light hovering,Yes,https://nuforc.org/webreports/reports/174/S174377.html,44.6272,-123.0965,66405
03/06/23,02/08/23,22:08:00,Torrington,CT,Rectangle,5 seconds,Strange object passing across the Moon,Yes,https://nuforc.org/webreports/reports/174/S174389.html,41.8349,-73.1282,35447
03/06/23,02/08/23,18:30:00,Port Allegany,PA,Triangle,3-4 minutes,Triangle lights appeared disappeared then reappeared as it moved across the sky.,Yes,https://nuforc.org/webreports/reports/174/S174358.html,41.8148,-78.2769,2328
03/06/23,02/07/23,18:56:00,Lutz,FL,Circle,1hour,I thought maybe it was a plane but planes don't stay still in the sky so I thought maybe was a star or Stars don't move after an hour,Yes,https://nuforc.org/webreports/reports/174/S174431.html,28.1396,-82.4467,23827
03/06/23,02/07/23,13:43:00,Logan,UT,Diamond,3-4 Seconds,Witnessed a large object fly through low clouds in a small canyon.,Yes,https://nuforc.org/webreports/reports/174/S174353.html,41.7399,-111.8422,106319
03/06/23,02/06/23,23:06:00,Van Buren,OH,Other,5 minutes,Object to the north,Yes,https://nuforc.org/webreports/reports/174/S174576.html,41.1387,-83.6494,665
03/06/23,02/05/23,21:20:00,Watsonville,CA,Formation,45 minutes to an hr long,At least 40 pairs of lights visible with naked eye. But when viewed thru binoculars several more smaller lights around the bright pair,Yes,https://nuforc.org/webreports/reports/174/S174326.html,36.9206,-121.7708,76285
03/06/23,02/04/23,18:05:00,johnson city,TN,Other,maybe 20 seconds,I have a few photos,Yes,https://nuforc.org/webreports/reports/174/S174543.html,36.3406,-82.3806,131902
03/06/23,02/03/23,18:35:00,Shenandoah,IA,Changing,Every night,These same lighted objects are above town every night and start out in the same positions it would seem,Yes,https://nuforc.org/webreports/reports/174/S174294.html,40.7582,-95.372,4874
03/06/23,02/03/23,17:20:00,Palm Springs,CA,Cross,10 minutes,Black object was moving very very slow to its right,Yes,https://nuforc.org/webreports/reports/174/S174301.html,33.8017,-116.5382,44799
03/06/23,02/03/23,17:15:00,San Jose,CA,Circle,30 Minutes,Weird large circular thing in the sky traveling North to South from where we were standing - Very high up - Very large object,Yes,https://nuforc.org/webreports/reports/174/S174388.html,37.3012,-121.848,1729879
03/06/23,02/03/23,17:00:00,Farmington,MO,Sphere,Ongoing as I typr,Noticed a bright white object in the eastern sky. It was above the moon yet has seemingly drifted slowly to the right,Yes,https://nuforc.org/webreports/reports/174/S174281.html,37.7822,-90.4282,17959
03/06/23,02/03/23,09:34:00,Middleton,TN,Sphere,,Spheres in 2 of my pictures,Yes,https://nuforc.org/webreports/reports/174/S174302.html,35.0593,-88.8902,679
03/06/23,02/02/23,22:00:00,Vero Beach,FL,Light,2-5 minutes,Orange Flare/Pulsating Light. Vertical & Horizontal.,Yes,https://nuforc.org/webreports/reports/174/S174265.html,27.6463,-80.393,16254
03/06/23,02/02/23,18:17:00,North Bend,OR,Disk,fifteen minutes,The same type of discoid craft that I saw and reported earlier but was orientated virtually perpendicular to the surface of the earth,Yes,https://nuforc.org/webreports/reports/174/S174287.html,43.4075,-124.2364,10224
03/06/23,02/01/23,22:29:00,tyrone,PA,Sphere,1 minute plus,"Caught on camera, didn't realize there was an anomaly until later.",Yes,https://nuforc.org/webreports/reports/174/S174321.html,40.6764,-78.246,5473
03/06/23,02/01/23,18:48:00,Baden,PA,Light,About 5 minutes,"Two bright lights flying in formation, the lead one dim followed by a bright white light",Yes,https://nuforc.org/webreports/reports/174/S174259.html,40.6396,-80.2228,3937
03/06/23,02/01/23,17:48:00,Gurnee,IL,Light,3 minutes,Brighter one with trailing one that was more faint,Yes,https://nuforc.org/webreports/reports/174/S174239.html,42.3708,-87.9392,30826
03/06/23,01/31/23,19:15:00,Sulphur Springs,IN,Circle,10 seconds,Fast spherical orange light,Yes,https://nuforc.org/webreports/reports/174/S174230.html,39.9991,-85.4392,448
03/06/23,01/30/23,21:15:00,Richmond,VA,Circle,Five minutes,Unexplained movement of one object and 40 or so more objects.,Yes,https://nuforc.org/webreports/reports/174/S174255.html,37.5295,-77.4756,1008069
03/06/23,01/29/23,19:08:00,North Bend,OR,Changing,2 hours,The object hovered in place changing from a teardrop shape to triangle to flying saucer shape. It tilted at an angle of 45 degrees,Yes,https://nuforc.org/webreports/reports/174/S174217.html,43.4075,-124.2364,10224
03/06/23,01/29/23,18:45:00,Lexington,KY,Other,2-5 minutes,Big blue light stationery a few hundred yards wide very low just above the fog barrier.,Yes,https://nuforc.org/webreports/reports/174/S174327.html,38.0423,-84.4587,321354
03/06/23,01/29/23,01:48:00,Lynnwood,WA,Triangle,1 to 3 seconds,Picture of a triangle shaped object,Yes,https://nuforc.org/webreports/reports/174/S174186.html,47.8284,-122.3033,38812
03/06/23,01/28/23,18:00:00,Dundalk,MD,Changing,25 minutes,I believe it was something from another planet,Yes,https://nuforc.org/webreports/reports/174/S174166.html,39.2704,-76.4942,66426
03/06/23,01/27/23,23:15:00,Worcester,MA,Fireball,About 1 second,"Western sky, large, ~1/6 moon diameter sustained flash, white and green low in the sky, moved downwards below the horizon very quickly.",Yes,https://nuforc.org/webreports/reports/174/S174159.html,42.2705,-71.8079,573573
03/06/23,01/27/23,22:16:00,"Aiken,",SC,Triangle,5 minutes,Gazing up at the full moon. Clear night. 5 or 6 large long triangles with red lights at the ends. I thought they were satellites.,Yes,https://nuforc.org/webreports/reports/174/S174243.html,33.5303,-81.7271,31516
03/06/23,01/27/23,13:08:00,Savannah,GA,Cylinder,Couple of seconds,Unique cloud and ufo,Yes,https://nuforc.org/webreports/reports/174/S174161.html,32.0286,-81.1821,289607
03/06/23,01/26/23,08:36:00,Nixon,TX,Light,5 minutes,Suspected Plasma Ball Event,Yes,https://nuforc.org/webreports/reports/174/S174298.html,29.2698,-97.7658,2574
03/06/23,01/26/23,07:08:00,Naugatuck,CT,Circle,10 minutes,"Driving up through route 8, saw two aircraft just sort of hovering in the air.",Yes,https://nuforc.org/webreports/reports/174/S174146.html,41.489,-73.0518,31586
03/06/23,01/25/23,17:34:00,Waco,TX,Circle,5 minutes,I was driving to temple children's hospital to pick up my girlfriend and I couldnt help but notice the light in the sky,Yes,https://nuforc.org/webreports/reports/174/S174135.html,31.5599,-97.1882,187172
03/06/23,01/25/23,13:20:00,Mojave,CA,Sphere,5 minutes,"During a flight the man next to me and I both witnessed three spheres (one large, two small) moving in multiple directions over CA.",Yes,https://nuforc.org/webreports/reports/174/S174144.html,35.0139,-118.1896,3620
03/06/23,01/24/23,18:40:00,Clearlake,CA,Disk,2 hours,The object would move in circles then drop very fast the move again very fast back upwards the to the right,Yes,https://nuforc.org/webreports/reports/174/S174108.html,38.9589,-122.633,16468
